Density,MOR,MOE,Customer Satisfaction
405.4034,60.9887,4261.42,Good
392.9937,44.7461,4156.92,Good
470.9295,49.8413,3993.37,Good
403.3186,42.1607,3279.16,Good
485.5602,75.6535,4777.84,Good
454.3044,66.8864,4385.9,Good
439.7866,63.0442,3726.76,Good
431.756,56.4324,4945.76,Good
435.0681,55.8162,3776.96,Good
401.6914,60.604,5234.98,Good
450.3129,61.4507,3725.72,Good
453.4191,60.2266,3663.37,Good
434.3915,51.489,3877.54,Good
415.3089,54.19,5184.78,Good
641.8909,65.1301,5573.1,Good
438.5502,61.019,5004.56,Good
422.0342,56.4541,4391.84,Good
393.5056,56.5124,4446.47,Good
409.891,41.0231,3115.2,Good
403.2152,55.2026,3946.37,Good
370.05,47.6419,3800.12,Good
368.9256,42.4605,2601.18,Good
406.4597,53.553,4816.62,Good
411.6793,55.7107,3836.99,Good
520.8551,50.7782,4303.31,Good
472.2122,59.8674,3515.02,Good
408.3492,17.5278,1586.56,Good
366.7598,25.6638,2331.61,Good
375.2236,41.0883,3524.62,Good
447.4816,44.5537,2914.57,Good
424.0547,48.4532,4391.25,Good
351.2345,30.4998,2263.77,Good
382.2918,42.2715,3707.26,Good
378.6133,51.7984,3511.99,Good
410.4255,53.7946,4333.1,Good
394.2146,43.718,3646.74,Good
378.3981,45.504,3413.47,Good
358.3611,40.3826,3230.43,Good
435.1621,53.757,3769.15,Good
463.459,70.785,4158.75,Good
444.7076,51.6754,4533.63,Good
428.9101,50.4422,3488.72,Good
438.7001,53.7493,4279.66,Good
471.9952,65.2429,4860.1,Good
447.3696,61.9939,3990.66,Good
458.4275,62.9087,5058.73,Good
549.7028,82.531,6504.01,Good
487.9624,66.2512,5372.91,Good
454.7111,56.4482,4410.07,Good
425.9685,55.3713,4562.98,Good
462.7728,61.9735,5848.34,Good
494.2271,62.2029,3843.32,Good
492.5159,71.0174,5282.09,Good
519.1322,69.7818,6515.76,Good
425.6726,51.7661,4076.65,Good
403.1429,46.165,4140.75,Good
494.1491,56.5514,4553.13,Good
437.4983,58.9113,4637.37,Good
468.7758,51.0684,4333.16,Good
483.1194,63.1876,5444.18,Good
494.8323,54.3368,4651.12,Good
499.5271,60.9752,5709.81,Good
456.8689,60.587,4080.44,Good
435.2388,53.0476,3848,Good
409.4313,49.7161,4512.24,Good
432.1542,54.435,6181.88,Good
412.0773,45.3536,3689.89,Good
392.9958,43.4959,3440.29,Good
447.6068,59.2028,3831.52,Good
444.4434,52.5804,4410.29,Good
330.5837,23.7295,2435.63,Good
356.1393,42.5371,3160.14,Good
460.3723,54.7318,4651.19,Good
454.8041,61.4744,4847.54,Good
448.4291,47.3586,4869.16,Good
385.1766,49.5441,3790.74,Good
414.6831,57.9905,4243.43,Good
381.7697,35.8702,2513.77,Good
415.705,41.7218,3045.59,Good
432.4195,23.6003,1902.12,Good
377.0223,42.3543,3270.68,Good
396.3237,34.2355,3743.39,Good
375.8,35.6031,4517.96,Good
434.4476,41.6401,3609.46,Good
365.8872,36.7302,3041.23,Good
434.9243,43.6359,3855.29,Good
463.8259,57.6688,3698.65,Good
443.54,47.6656,3850.34,Good
526.4714,78.8169,3776.21,Good
530.7234,73.827,4030.4,Good
391.9907,51.3092,4189.75,Good
380.3998,44.8136,4764.72,Good
446.7917,57.0345,4051.92,Good
526.9782,55.4526,4217.31,Good
335.8072,46.0778,3875,Good
362.5531,39.2301,2844.46,Good
430.0477,65.5666,2676.25,Good
431.5614,46.7035,3186.06,Good
446.7187,61.9024,3723.63,Good
461.9423,51.6489,4035.45,Good
459.8867,63.927,3641.58,Good
401.1284,47.5107,1601.07,Good
344.6389,44.563,4063.09,Good
355.1915,52.4763,3615.94,Good
469.7832,60.9964,4231.28,Good
524.4266,79.427,5468.64,Good
423.2209,47.3083,4063.75,Good
390.0493,35.8337,2453.82,Good
476.2742,65.4669,4558.41,Good
427.4951,52.1388,4981.05,Good
482.6491,65.7822,5694.67,Good
448.758,52.2684,4248.63,Good
475.1663,56.9878,3816.91,Good
458.7888,60.1421,5772.34,Good
366.1969,32.9558,1866.23,Good
386.1793,48.7765,5207.15,Good
437.8879,43.0395,3239.56,Good
446.5713,51.7813,3370.3,Good
433.3951,62.3321,3914.38,Good
457.2203,57.7424,4810.63,Good
565.6973,95.6142,8011.41,Bad
541.0836,96.5665,9068.29,Bad
543.1221,92.2529,8836.8,Bad
589.1165,89.3071,9021.75,Bad
447.5613,75.3502,8224.44,Bad
437.4438,80.6517,7601.3,Bad
457.5916,79.7112,6795.81,Bad
465.411,80.4315,6854.84,Bad
479.5422,75.2926,6838.9,Bad
500.0394,64.8498,7635.26,Bad
568.4616,63.1009,6444.04,Bad
432.4301,54.122,5532.33,Bad
469.4789,86.1919,8621.77,Bad
451.0589,82.0361,8656.75,Bad
430.0583,74.6871,7633.5,Bad
431.2361,76.52,6711.39,Bad
437.6673,69.6704,5579.77,Bad
465.4579,72.382,7482.14,Bad
530.3488,92.7168,9276.19,Bad
521.0558,81.5036,6784.49,Bad
501.5394,94.4647,8445.32,Bad
495.2088,80.2393,8926.42,Bad
460.3269,80.8241,7676.78,Bad
437.1335,67.5812,6498.12,Bad
501.0308,85.2328,7620.43,Bad
515.7859,91.1699,9808.05,Bad
450.2416,80.9482,7692.64,Bad
472.5581,91.4416,7070.32,Bad
472.2435,94.2175,8981.18,Bad
490.7826,69.7575,6337.22,Bad
540.8437,110.0548,13247.13,Bad
544.9427,98.1518,10606.81,Bad
547.4245,99.7731,9142.25,Bad
526.5003,97.7755,9095.03,Bad
454.4007,72.9982,5589.62,Bad
455.4841,78.7146,7624.86,Bad
473.3166,80.9714,8207.29,Bad
498.8619,59.7435,7298.21,Bad
512.8806,95.7989,8293.12,Bad
493.6963,77.7938,6298.88,Bad
626.3326,85.5722,8235.38,Bad
517.494,69.1415,6850.62,Bad
489.825,82.2185,7303.94,Bad
487.5438,79.3013,7074.28,Bad
539.3767,78.8186,7190.88,Bad
515.3584,62.6805,9917.45,Bad
568.3222,79.4631,7938.47,Bad
593.2543,80.8726,8358.35,Bad
510.595,85.1018,8414.2,Bad
588.9824,92.1441,9629.43,Bad
505.8489,83.5728,7199.8,Bad
537.6608,91.416,8262.26,Bad
514.2878,90.0936,7368.53,Bad
533.5212,103.2238,8420.8,Bad
493.6554,93.8099,9255,Bad
525.4449,99.7106,9745.86,Bad
562.0962,92.4763,9438.96,Bad
489.2821,76.8784,7933.22,Bad
508.466,82.6657,8314.03,Bad
458.4734,82.8124,8275.08,Bad
499.6348,78.8321,8205.39,Bad
482.1819,83.5043,7822.26,Bad
477.6993,87.2531,6774.91,Bad
461.1067,90.3013,8278.17,Bad
424.8916,71.2545,7312.7,Bad
413.9908,63.7745,6033.9,Bad
410.2725,57.0443,5522.81,Bad
397.528,55.3428,5314.57,Bad
369.6712,60.2543,6080.82,Bad
441.3996,75.0827,7537.13,Bad
404.6435,59.4823,5843.77,Bad
407.615,75.0196,6923.18,Bad
414.5211,47.4152,2857.84,Bad
440.712,68.0057,6815.91,Bad
497.723,66.4046,5075.25,Bad
479.8266,85.9881,7550.66,Bad
438.9305,71.3513,6505.06,Bad
446.1003,59.767,5630.46,Bad
456.4794,66.6775,6813.72,Bad
466.8039,69.1972,6105.57,Bad
427.876,74.214,7858.31,Bad
438.6646,72.135,6154.94,Bad
457.3769,59.0151,6784.95,Bad
439.8498,72.4517,7848.99,Bad
425.0974,65.6463,5469.65,Bad
487.2547,82.2036,6260.08,Bad
522.2008,84.9315,9489.7,Bad
493.1866,79.4322,7057.57,Bad
452.6484,70.9538,7113.01,Bad
456.3574,67.8723,6314.21,Bad
478.7617,78.9003,7713.63,Bad
480.3765,73.0198,5737.05,Bad
446.6715,79.7173,7774,Bad
485.4049,73.8546,7060.87,Bad
410.9434,62.8739,5128.48,Bad
418.8836,62.2883,7076.24,Bad
585.5157,100.5106,10025.75,Bad
615.3401,99.9068,11791.64,Bad
598.2523,74.0413,5181.91,Bad
575.4856,97.4783,9012.4,Bad
538.0583,77.0718,7432.24,Bad
520.7444,79.9123,8196.82,Bad
451.1127,72.8455,7317.03,Bad
462.1271,76.4342,7069.17,Bad
484.8879,88.2366,9753.36,Bad
483.6397,81.2385,8455.71,Bad
470.06,85.0544,7848.91,Bad
701.5146,114.0609,9448.24,Bad
664.2928,103.8409,9079.2,Bad
441.2517,69.0114,6063.57,Bad
446.6841,59.0767,6765.24,Bad
441.1833,66.206,7477.64,Bad
473.23,71.1415,8062.67,Bad
449.2867,77.4351,7736.74,Bad
532.4105,98.4552,10520.72,Bad
449.3665,77.9829,8590.07,Bad
439.852,71.583,7631.2,Bad
516.9763,87.2491,8853.45,Bad
440.971,61.6939,5127.35,Bad
459.5091,78.5236,7896.54,Bad
